Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Hockey,Men's Pool A (#M05),Germany,France,2024-07-27T15:00:00.000+00:00,
Rugby Sevens,Men's Placing 9-10 (#M30),Winner M19,Winner M20,2024-07-27T15:00:00.000+00:00,
Skateboarding,Men's Street Final,,,2024-07-27T15:00:00.000+00:00,medal match
Volleyball,Men's Preliminary Round - Pool B (#3),Poland,Egypt,2024-07-27T15:00:00.000+00:00,
Basketball,Men's Group Phase - Group B (#3),France,Brazil,2024-07-27T15:15:00.000+00:00,
Hockey,Men's Pool B (#M06),India,New Zealand,2024-07-27T15:30:00.000+00:00,
Boxing,Men's 80kg - Preliminaries - Round of 32,,,2024-07-27T15:38:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool B (#8),XUE/X.Y.XIA,MARIAFE/CLANCY,2024-07-27T16:00:00.000+00:00,
Rugby Sevens,Men's Placing 7-8 (#M31),Loser M25,Loser M26,2024-07-27T16:00:00.000+00:00,
Rugby Sevens,Men's Placing 5-6 (#M32),Winner M25,Winner M26,2024-07-27T16:30:00.000+00:00,
Water Polo,Women's Preliminary Round - Group B (#3),Spain,France,2024-07-27T16:30:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool D (#4),GEORGE/ANDRE,ABICHA/ELGRAOUI,2024-07-27T17:00:00.000+00:00,
Football,Men's Group A (#10),New Zealand,United States,2024-07-27T17:00:00.000+00:00,
Football,Men's Group D (#15),Israel,Paraguay,2024-07-27T17:00:00.000+00:00,
Handball,Men's Preliminary Round Group A (#5),Germany,Sweden,2024-07-27T17:00:00.000+00:00,
Rugby Sevens,Men's Bronze Medal Match (#M33),Loser M27,Loser M28,2024-07-27T17:00:00.000+00:00,
Hockey,Women's Pool B (#W01),Argentina,United States,2024-07-27T17:45:00.000+00:00,
Rugby Sevens,Men's Gold Medal Match (#M34),Winner M27,Winner M28,2024-07-27T17:45:00.000+00:00,medal match
Artistic Gymnastics,Men's Qualification - Subdivision 3,,,2024-07-27T18:00:00.000+00:00,
Water Polo,Women's Preliminary Round - Group A (#4),Australia,China,2024-07-27T18:05:00.000+00:00,
Hockey,Women's Pool A (#W02),Netherlands,France,2024-07-27T18:15:00.000+00:00,
Swimming,Women's 100m Butterfly Semifinals,,,2024-07-27T18:30:00.000+00:00,
Fencing,Women's Épée Individual Bronze Medal Bout,,,2024-07-27T18:40:00.000+00:00,
Swimming,Men's 400m Freestyle Final,,,2024-07-27T18:42:00.000+00:00,medal match
Swimming,Women's 400m Freestyle Final,,,2024-07-27T18:52:00.000+00:00,medal match
Basketball,Men's Group Phase - Group A (#4),Greece,Canada,2024-07-27T19:00:00.000+00:00,
Football,Men's Group A (#9),France,Guinea,2024-07-27T19:00:00.000+00:00,
Football,Men's Group D (#16),Japan,Mali,2024-07-27T19:00:00.000+00:00,
Handball,Men's Preliminary Round Group B (#6),Denmark,France,2024-07-27T19:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool C (#4),United States,Argentina,2024-07-27T19:00:00.000+00:00,
Fencing,Men's Sabre Individual Bronze Medal Bout,,,2024-07-27T19:05:00.000+00:00,
Swimming,Men's 100m Breaststroke Semifinals,,,2024-07-27T19:12:00.000+00:00,
Fencing,Women's Épée Individual Gold Medal Bout,,,2024-07-27T19:30:00.000+00:00,medal match
Swimming,Women's 4 x 100m Freestyle Relay Final,,,2024-07-27T19:34:00.000+00:00,medal match
Swimming,Men's 4 x 100m Freestyle Relay Final,,,2024-07-27T19:44:00.000+00:00,medal match
Fencing,Men's Sabre Individual Gold Medal Bout,,,2024-07-27T19:55:00.000+00:00,medal match
Beach Volleyball,Women's Preliminary Phase - Pool B (#2),NUSS/KLOTH,BANSLEY/BUKOVEC,2024-07-27T20:00:00.000+00:00,
Boxing,Men's 80kg - Preliminaries - Round of 32,,,2024-07-27T20:08:00.000+00:00,
Beach Volleyball,Men's Preliminary Phase - Pool A (#7),COTTAFAVA/NICOLAI,CHERIF/AHMED,2024-07-27T21:00:00.000+00:00,
